"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2019","제주","Others","기타","전남","Honam","호남권","0","권역 간"
"2019","제주","Others","기타","경북","Yeongnam","영남권","0","권역 간"
"2019","제주","Others","기타","경남","Yeongnam","영남권","0","권역 간"
"2019","제주","Others","기타","제주","Others","기타","9376659","권역 내"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","서울","Capital Area","수도권","342030","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","부산","Yeongnam","영남권","480023","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","대구","Yeongnam","영남권","135665","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","인천","Capital Area","수도권","407434","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","광주","Honam","호남권","115502","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","세종","Chungcheong(excl. DJ)","충청권(대전제외)","2581444","권역 내"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","대전","Daejeon","대전시","649624","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","울산","Yeongnam","영남권","293245","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","경기","Capital Area","수도권","3200579","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","강원","Others","기타","555895","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","충북","Chungcheong(excl. DJ)","충청권(대전제외)","3898433","권역 내"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","충남","Chungcheong(excl. DJ)","충청권(대전제외)","4668356","권역 내"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","전북","Honam","호남권","563421","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","전남","Honam","호남권","634206","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","경북","Yeongnam","영남권","1301929","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","경남","Yeongnam","영남권","471805","권역 간"
"2019","세종","Chungcheong(excl. DJ)","충청권(대전제외)","제주","Others","기타","0","권역 간"
"2020","서울","Capital Area","수도권","서울","Capital Area","수도권","32668611","권역 내"
"2020","서울","Capital Area","수도권","부산","Yeongnam","영남권","879870","권역 간"
"2020","서울","Capital Area","수도권","대구","Yeongnam","영남권","246905","권역 간"
"2020","서울","Capital Area","수도권","인천","Capital Area","수도권","1622015","권역 내"
