"year","commodity","city","flow_type","cargo_volume","commodity_category","region_kr","region_en"
"2019","비금속광물","부산","반입","6545105","원자재 및 기초소재","영남권","Yeongnam"
"2019","비금속광물","부산","반출","564303","원자재 및 기초소재","영남권","Yeongnam"
"2019","비금속광물","부산","합계","7109408","원자재 및 기초소재","영남권","Yeongnam"
"2019","비금속광물","대구","반입","5106903","원자재 및 기초소재","영남권","Yeongnam"
"2019","비금속광물","대구","반출","295576","원자재 및 기초소재","영남권","Yeongnam"
"2019","비금속광물","대구","합계","5402479","원자재 및 기초소재","영남권","Yeongnam"
"2019","비금속광물","인천","반입","8484990","원자재 및 기초소재","수도권","Capital Area"
"2019","비금속광물","인천","반출","4815938","원자재 및 기초소재","수도권","Capital Area"
"2019","비금속광물","인천","합계","13300928","원자재 및 기초소재","수도권","Capital Area"
"2019","비금속광물","광주","반입","1718177","원자재 및 기초소재","호남권","Honam"
