"연도","품목","지역","구분","물동량_톤","commodity_cat_en","commodity_cat_kr","region_kr","region_en"
"2019","석탄광물","인천","합계","216619","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","광주","반입","32346","Heavy Industry & Raw Materials","중화학 및 원자재","호남권","Honam"
"2019","석탄광물","광주","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","호남권","Honam"
"2019","석탄광물","광주","합계","32346","Heavy Industry & Raw Materials","중화학 및 원자재","호남권","Honam"
"2019","석탄광물","세종","반입","20252","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","세종","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","세종","합계","20252","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","대전","반입","59685","Heavy Industry & Raw Materials","중화학 및 원자재","대전시","Daejeon"
"2019","석탄광물","대전","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","대전시","Daejeon"
"2019","석탄광물","대전","합계","59685","Heavy Industry & Raw Materials","중화학 및 원자재","대전시","Daejeon"
"2019","석탄광물","울산","반입","226998","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","울산","반출","27","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","울산","합계","227025","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","경기","반입","257029","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","경기","반출","9681695","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","경기","합계","9938724","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","강원","반입","317148","Heavy Industry & Raw Materials","중화학 및 원자재","기타","Others"
"2019","석탄광물","강원","반출","1132000","Heavy Industry & Raw Materials","중화학 및 원자재","기타","Others"
"2019","석탄광물","강원","합계","1449148","Heavy Industry & Raw Materials","중화학 및 원자재","기타","Others"
"2019","석탄광물","충북","반입","300869","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충북","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충북","합계","300869","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충남","반입","9804461","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충남","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충남","합계","9804461","Heavy Industry & Raw Materials","중화학 및 원자재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","전북","반입","103417","Heavy Industry & Raw Materials","중화학 및 원자재","호남권","Honam"
"2019","석탄광물","전북","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","호남권","Honam"
