"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20221101,서울특별시,11,동대문구,11230,부산광역시,26,76,370,29,100,410,36,409,34,909,167,114
20221101,서울특별시,11,동대문구,11230,대구광역시,27,37,230,32,81,270,36,259,34,651,118,73
20221101,서울특별시,11,동대문구,11230,인천광역시,28,50,392,41,112,411,47,381,41,852,203,127
20221101,서울특별시,11,성북구,11290,세종특별자치시,36,13,60,6,24,99,6,47,18,227,87,8
20221101,서울특별시,11,마포구,11440,제주특별자치도,50,10,120,40,55,107,8,64,9,116,33,30
20221101,서울특별시,11,마포구,11440,경상남도,48,57,591,242,467,459,46,950,69,435,220,248
20221101,서울특별시,11,마포구,11440,경상북도,47,44,421,163,421,437,27,717,70,358,136,184
20221101,서울특별시,11,마포구,11440,전라남도,46,36,310,134,294,264,24,463,37,227,87,103
20221101,서울특별시,11,마포구,11440,전라북도,45,33,313,104,270,261,22,570,57,281,105,118
20221101,서울특별시,11,마포구,11440,충청남도,44,56,400,159,393,383,35,687,42,355,165,179
20221101,서울특별시,11,마포구,11440,충청북도,43,52,345,83,293,313,29,540,23,335,133,124
20221101,서울특별시,11,마포구,11440,강원도,42,35,305,90,326,284,21,416,33,289,113,114
20221101,서울특별시,11,마포구,11440,경기도,41,347,3248,1221,2842,2929,221,4268,307,3126,1239,1514
20221101,서울특별시,11,마포구,11440,세종특별자치시,36,8,89,33,79,57,7,120,5,73,25,45
20221101,서울특별시,11,마포구,11440,울산광역시,31,18,235,86,159,154,21,352,21,190,83,91
20221101,서울특별시,11,마포구,11440,대전광역시,30,35,292,122,283,223,23,398,33,275,140,119
20221101,서울특별시,11,마포구,11440,광주광역시,29,25,287,131,246,217,15,485,42,276,100,114
20221101,서울특별시,11,마포구,11440,인천광역시,28,69,675,257,551,497,45,897,92,557,235,271
20221101,서울특별시,11,마포구,11440,대구광역시,27,53,438,156,383,358,31,606,37,422,186,211
20221101,서울특별시,11,마포구,11440,부산광역시,26,78,689,286,531,511,50,964,66,558,244,286
20221101,서울특별시,11,마포구,11440,서울특별시,11,257,2808,1095,2323,2075,181,2891,186,2801,1244,1280
20221101,서울특별시,11,영등포구,11560,전라남도,46,22,276,34,98,131,19,106,37,150,42,123
20221101,서울특별시,11,영등포구,11560,경상북도,47,25,427,47,141,234,17,193,77,206,72,175
