시도별,산업별,산업코드,연도,지표,단위,값,비고
전라북도,제조업,10~34,2021,부가가치,백만원,14446306.0,
전라남도,광업 및 제조업,,2021,부가가치,백만원,34499341.0,
전라남도,광업,05~08,2021,부가가치,백만원,159032.0,
전라남도,제조업,10~34,2021,부가가치,백만원,34340309.0,
경상북도,광업 및 제조업,,2021,부가가치,백만원,53657052.0,
경상북도,광업,05~08,2021,부가가치,백만원,177104.0,
경상북도,제조업,10~34,2021,부가가치,백만원,53479948.0,
경상남도,광업 및 제조업,,2021,부가가치,백만원,43106944.0,
경상남도,광업,05~08,2021,부가가치,백만원,122934.0,
경상남도,제조업,10~34,2021,부가가치,백만원,42984010.0,
제주특별자치도,광업 및 제조업,,2021,부가가치,백만원,899657.0,
제주특별자치도,광업,05~08,2021,부가가치,백만원,27540.0,
제주특별자치도,제조업,10~34,2021,부가가치,백만원,872117.0,
전국,광업 및 제조업,,2021,유형자산 연말잔액,백만원,698757933.0,
전국,광업,05~08,2021,유형자산 연말잔액,백만원,3043425.0,
전국,제조업,10~34,2021,유형자산 연말잔액,백만원,695714508.0,
서울특별시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,9232147.0,
서울특별시,광업,05~08,2021,유형자산 연말잔액,백만원,,X
서울특별시,제조업,10~34,2021,유형자산 연말잔액,백만원,9231497.0,
부산광역시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,24408756.0,
부산광역시,광업,05~08,2021,유형자산 연말잔액,백만원,,X
부산광역시,제조업,10~34,2021,유형자산 연말잔액,백만원,24401978.0,
대구광역시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,16091526.0,
대구광역시,광업,05~08,2021,유형자산 연말잔액,백만원,,X
대구광역시,제조업,10~34,2021,유형자산 연말잔액,백만원,16089071.0,
인천광역시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,37447132.0,
인천광역시,광업,05~08,2021,유형자산 연말잔액,백만원,143117.0,
인천광역시,제조업,10~34,2021,유형자산 연말잔액,백만원,37304015.0,
광주광역시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,10921254.0,
광주광역시,광업,05~08,2021,유형자산 연말잔액,백만원,,X
